Date,Open,High,Low,Close,Volume
2021-06-04,70.93,73.8,70.57,70.93,77806.0
2021-06-07,70.89,72.31,69.54,70.51,55932.0
2021-06-08,70.01,71.43,69.19,69.75,55346.0
2021-06-09,70.1,70.11,68.14,69.11,48448.0
2021-06-10,68.79,70.99,68.78,70.23,68964.0
2021-06-11,70.9,71.88,67.36,67.52,84833.0
2021-06-15,66.69,67.5,65.68,65.98,46522.0
2021-06-16,65.93,67.35,65.29,65.85,40720.0
2021-06-17,65.85,67.28,65.82,66.68,41310.0
2021-06-18,66.69,69.17,66.07,67.64,49804.0
2021-06-21,68.89,70.07,67.91,68.46,50568.0
2021-06-22,68.29,71.86,67.5,69.5,69837.0
2021-06-23,68.61,69.89,67.36,68.74,57942.0
2021-06-24,68.49,70.04,68.15,69.45,48995.0
2021-06-25,69.5,73.71,68.79,71.9,134978.0
2021-06-28,71.55,71.56,69.84,70.18,71442.0
2021-06-29,69.96,70.7,68.86,69.04,46890.0
2021-06-30,69.04,70.64,69.0,70.06,44940.0
2021-07-01,71.0,71.79,67.36,67.36,76335.0
2021-07-02,67.0,68.51,66.29,67.19,48606.0
2021-07-05,67.11,67.86,65.19,65.61,53974.0
2021-07-06,65.61,66.06,63.39,64.75,58914.0
2021-07-07,64.29,65.15,64.14,64.63,44952.0
2021-07-08,64.94,65.8,63.7,64.02,56832.0
2021-07-09,63.4,64.11,62.98,63.89,45206.0
2021-07-12,65.57,67.13,65.15,65.44,87841.0
2021-07-13,65.05,65.5,63.36,64.31,65309.0
2021-07-14,63.63,65.23,63.27,63.82,56617.0
2021-07-15,62.36,62.36,59.5,61.7,88457.0
2021-07-16,62.0,62.56,60.49,61.09,50205.0
2021-07-19,61.11,61.16,59.5,60.69,45258.0
2021-07-20,59.99,60.93,59.68,59.91,40159.0
2021-07-21,60.11,62.01,60.11,61.02,61544.0
2021-07-22,61.14,63.94,60.48,63.23,79891.0
2021-07-23,63.64,66.79,61.41,63.31,86385.0
2021-07-26,62.36,63.79,60.37,60.64,68811.0
2021-07-27,60.93,61.27,57.57,57.57,73991.0
2021-07-28,56.38,57.96,55.23,55.97,66835.0
2021-07-29,56.96,58.19,56.29,57.35,52778.0
2021-07-30,56.64,57.06,55.34,55.69,48037.0
2021-08-02,55.81,60.36,54.68,59.01,79266.0
2021-08-03,58.07,60.86,57.86,59.08,61311.0
2021-08-04,59.01,59.27,57.44,58.99,49647.0
2021-08-05,58.18,59.14,56.69,57.27,42804.0
2021-08-06,57.34,58.31,56.73,57.16,32399.0
2021-08-09,57.18,60.26,57.0,59.11,69841.0
2021-08-10,58.63,60.73,58.26,60.42,60012.0
2021-08-11,60.21,61.21,59.64,59.85,44894.0
2021-08-12,59.48,60.39,58.64,58.7,38978.0
2021-08-13,58.31,60.29,58.24,59.29,40056.0
2021-08-16,59.86,64.7,59.71,61.83,92423.0
2021-08-17,61.0,66.13,60.91,63.3,124837.0
2021-08-18,62.82,76.99,62.49,75.91,300376.0
2021-08-19,74.22,76.13,71.9,72.46,188087.0
2021-08-20,72.46,73.94,65.93,67.39,171396.0
2021-08-23,69.05,71.4,67.63,68.83,142885.0
2021-08-24,69.49,73.26,68.07,71.26,148911.0
2021-08-25,69.83,71.06,68.57,69.97,77079.0
2021-08-26,69.97,72.29,67.9,69.61,92653.0
2021-08-27,69.61,72.55,69.08,71.07,91657.0
2021-08-30,71.64,71.79,67.36,68.79,90153.0
2021-08-31,67.51,73.96,67.51,72.15,119522.0
2021-09-01,71.48,80.11,70.76,76.01,202598.0
2021-09-02,75.36,78.07,74.51,76.89,140305.0
2021-09-03,82.35,82.36,74.4,74.61,147115.0
2021-09-06,73.79,81.91,73.79,79.53,154807.0
2021-09-07,79.54,86.02,78.27,85.87,172135.0
2021-09-08,84.21,93.44,83.49,87.58,181000.0
2021-09-09,87.0,89.99,85.77,87.73,119654.0
2021-09-10,88.79,94.14,87.09,88.81,130842.0
2021-09-13,88.66,94.11,88.64,89.79,109455.0
2021-09-14,90.5,90.93,85.67,86.81,109570.0
2021-09-15,85.91,87.61,83.79,84.36,89988.0
2021-09-16,84.5,85.21,81.34,82.02,71180.0
2021-09-17,82.54,85.71,80.93,85.05,77848.0
2021-09-22,82.79,85.92,82.23,83.16,51732.0
2021-09-23,83.89,86.5,83.34,84.18,60807.0
2021-09-24,83.82,85.19,82.5,82.95,46728.0
2021-09-27,82.79,85.59,79.44,80.09,98404.0
2021-09-28,80.57,84.21,79.91,82.74,68309.0
2021-09-29,81.39,82.34,73.94,74.74,130141.0
2021-09-30,75.61,76.28,73.96,75.14,74184.0
2021-10-08,76.29,77.5,74.93,76.71,64678.0
2021-10-11,77.21,77.71,74.77,75.19,48842.0
2021-10-12,75.09,75.61,72.46,73.41,66815.0
2021-10-13,73.84,74.14,71.21,73.18,57946.0
2021-10-14,72.97,73.64,71.64,73.01,34275.0
2021-10-15,71.71,73.6,71.71,72.5,46243.0
2021-10-18,72.29,73.46,71.29,72.66,49422.0
2021-10-19,72.64,75.36,72.43,73.61,57603.0
2021-10-20,74.34,74.46,72.64,73.16,42697.0
2021-10-21,73.02,75.0,72.36,72.79,54625.0
2021-10-22,73.0,74.36,71.84,73.23,46998.0
2021-10-25,73.79,75.93,72.0,75.21,65386.0
2021-10-26,74.86,75.54,73.93,74.11,61236.0
2021-10-27,74.02,74.02,68.07,69.09,102039.0
2021-10-28,68.79,71.51,68.43,69.08,65142.0
2021-10-29,68.09,70.99,67.36,70.08,60569.0
2021-11-01,69.25,73.36,68.9,72.36,68873.0
2021-11-02,72.01,72.59,69.26,70.36,48586.0
2021-11-03,70.36,71.44,69.5,70.32,36815.0
2021-11-04,70.54,71.4,69.36,69.59,39065.0
