date,0
2005-01-04,983.895
2005-01-05,995.576
2005-01-06,986.216
2005-01-07,987.693
2005-01-10,997.186
2005-01-11,1000.098
2005-01-12,999.915
2005-01-13,1001.231
2005-01-14,991.409
2005-01-17,969.922
2005-01-18,979.139
2005-01-19,972.369
2005-01-20,960.598
2005-01-21,983.888
2005-01-24,1000.703
2005-01-25,998.001
2005-01-26,989.061
2005-01-27,973.434
2005-01-28,964.026
2005-01-31,945.237
2005-02-01,943.24
2005-02-02,994.212
2005-02-03,979.041
2005-02-04,1000.775
2005-02-16,1008.572
2005-02-17,1007.811
2005-02-18,993.838
2005-02-21,1012.737
2005-02-22,1035.251
2005-02-23,1036.707
2005-02-24,1039.191
2005-02-25,1040.062
2005-02-28,1034.234
2005-03-01,1031.482
2005-03-02,1016.601
2005-03-03,1022.691
2005-03-04,1017.494
2005-03-07,1023.007
2005-03-08,1043.097
2005-03-09,1042.302
2005-03-10,1017.261
2005-03-11,1021.87
2005-03-14,1023.919
2005-03-15,1007.543
2005-03-16,997.285
2005-03-17,986.222
2005-03-18,969.983
2005-03-21,972.291
2005-03-22,951.743
2005-03-23,948.301
2005-03-24,955.399
2005-03-25,953.561
2005-03-28,949.518
2005-03-29,943.929
2005-03-30,922.947
2005-03-31,928.649
2005-04-01,963.238
2005-04-04,946.868
2005-04-05,939.794
2005-04-06,957.448
2005-04-07,969.137
2005-04-08,987.353
2005-04-11,981.315
2005-04-12,963.181
2005-04-13,985.622
2005-04-14,971.601
2005-04-15,955.94
2005-04-18,945.14
2005-04-19,946.986
2005-04-20,930.891
2005-04-21,920.935
2005-04-22,914.607
2005-04-25,903.468
2005-04-26,912.457
2005-04-27,900.294
2005-04-28,917.088
2005-04-29,906.462
2005-05-09,881.503
2005-05-10,884.259
2005-05-11,874.393
2005-05-12,861.577
2005-05-13,864.772
2005-05-16,854.087
2005-05-17,861.365
2005-05-18,864.074
2005-05-19,864.441
2005-05-20,861.592
2005-05-23,839.479
2005-05-24,846.966
2005-05-25,847.169
2005-05-26,836.133
2005-05-27,828.117
2005-05-30,834.316
2005-05-31,834.262
2005-06-01,816.042
2005-06-02,799.802
2005-06-03,798.34
2005-06-06,816.42
2005-06-07,815.511
2005-06-08,881.593
2005-06-09,888.786
2005-06-10,870.777
2005-06-13,868.676
2005-06-14,857.283
2005-06-15,838.994
2005-06-16,849.359
2005-06-17,848.935
2005-06-20,873.81
2005-06-21,864.283
2005-06-22,867.616
2005-06-23,859.755
2005-06-24,863.777
2005-06-27,882.274
2005-06-28,869.038
2005-06-29,864.168
2005-06-30,843.178
2005-07-01,820.862
2005-07-04,815.332
2005-07-05,809.104
2005-07-06,803.85
2005-07-07,806.318
2005-07-08,788.361
2005-07-11,782.03
2005-07-12,808.596
2005-07-13,802.674
2005-07-14,804.772
2005-07-15,793.029
2005-07-18,782.153
2005-07-19,785.65
2005-07-20,791.751
2005-07-21,791.813
2005-07-22,807.56
2005-07-25,804.745
2005-07-26,823.336
2005-07-27,839.541
2005-07-28,836.545
2005-07-29,833.868
2005-08-01,837.86
2005-08-02,849.928
2005-08-03,855.95
2005-08-04,851.073
2005-08-05,872.043
2005-08-08,878.141
2005-08-09,886.305
2005-08-10,894.21
2005-08-11,906.682
2005-08-12,891.422
2005-08-15,912.316
2005-08-16,905.557
2005-08-17,915.559
2005-08-18,885.877
2005-08-19,887.533
2005-08-22,896.355
2005-08-23,886.317
2005-08-24,894.293
2005-08-25,896.784
2005-08-26,896.573
2005-08-29,886.489
2005-08-30,883.365
2005-08-31,897.637
2005-09-01,915.275
2005-09-02,919.672
2005-09-05,926.542
2005-09-06,908.976
2005-09-07,927.795
2005-09-08,930.0
2005-09-09,922.644
2005-09-12,924.104
2005-09-13,940.175
2005-09-14,947.807
2005-09-15,948.421
2005-09-16,946.653
2005-09-19,952.957
2005-09-20,944.651
2005-09-21,928.009
2005-09-22,904.436
2005-09-23,896.143
2005-09-26,899.59
2005-09-27,884.322
2005-09-28,882.628
2005-09-29,896.798
2005-09-30,897.276
2005-10-10,886.941
2005-10-11,901.457
2005-10-12,906.77
2005-10-13,900.565
2005-10-14,890.211
2005-10-17,885.935
2005-10-18,893.652
2005-10-19,888.892
2005-10-20,889.776
2005-10-21,895.323
2005-10-24,896.791
2005-10-25,882.276
2005-10-26,861.978
2005-10-27,859.891
2005-10-28,847.063
2005-10-31,853.934
2005-11-01,849.894
2005-11-02,861.558
2005-11-03,852.736
2005-11-04,857.03
2005-11-07,857.936
2005-11-08,862.82
2005-11-09,860.101
2005-11-10,841.75
2005-11-11,843.845
2005-11-14,842.841
2005-11-15,837.047
2005-11-16,843.389
2005-11-17,842.833
2005-11-18,861.756
2005-11-21,863.093
2005-11-22,848.68
2005-11-23,855.113
2005-11-24,859.805
2005-11-25,861.488
2005-11-28,857.934
2005-11-29,848.461
2005-11-30,850.889
