date,balance
2011-02-16,15053287772.0
2011-02-17,15291710902.0
2011-02-18,15511646689.0
2011-02-21,15785409094.0
2011-02-22,15905974209.0
2011-02-23,16116717937.0
2011-02-24,16372201073.0
2011-02-25,16403854520.0
2011-02-28,16523593407.0
2011-03-01,16636985414.0
2011-03-02,16837578091.0
2011-03-03,16745084156.0
2011-03-04,16977316771.0
2011-03-07,17453512989.0
2011-03-08,17714774158.0
2011-03-09,17950146184.0
2011-03-10,18242224122.0
2011-03-11,18526960948.0
2011-03-14,18869394191.0
2011-03-15,18977422892.0
2011-03-16,18932084038.0
2011-03-17,18846194952.0
2011-03-18,19026021511.0
2011-03-21,19122172893.0
2011-03-22,19394218686.0
2011-03-23,19534171802.0
2011-03-24,19725047183.0
2011-03-25,19799987653.0
2011-03-28,19949135299.0
2011-03-29,20242191846.0
2011-03-30,20460527574.0
2011-03-31,20782548700.0
2011-04-01,20836797075.0
2011-04-06,20777078530.0
2011-04-07,21104821834.0
2011-04-08,21293327846.0
2011-04-11,21871904928.0
2011-04-12,22469177691.0
2011-04-13,22881975273.0
2011-04-14,23024411917.0
2011-04-15,23235461237.0
2011-04-18,23483945502.0
2011-04-19,23442505741.0
2011-04-20,23831766840.0
2011-04-21,24092173191.0
2011-04-22,24181160106.0
2011-04-25,24129163746.0
2011-04-26,24098918976.0
2011-04-27,24103723349.0
2011-04-28,23975769738.0
2011-04-29,23960666242.0
2011-05-03,23907931100.0
2011-05-04,23834365349.0
2011-05-05,23765560274.0
2011-05-06,23652581912.0
2011-05-09,23776234999.0
2011-05-10,23971001340.0
2011-05-11,23975874051.0
2011-05-12,24096777618.0
2011-05-13,24337381986.0
2011-05-16,24421266889.0
2011-05-17,24726176670.0
2011-05-18,24982861768.0
2011-05-19,25026995323.0
2011-05-20,25152885883.0
2011-05-23,25046576954.0
2011-05-24,25202733573.0
2011-05-25,25337205784.0
2011-05-26,25420831010.0
2011-05-27,25252685579.0
2011-05-30,25275261671.0
2011-05-31,25583600763.0
2011-06-01,25684167340.0
2011-06-02,25910201834.0
2011-06-03,25903833591.0
2011-06-07,25868700620.0
2011-06-08,25901690123.0
2011-06-09,25945883192.0
2011-06-10,26085636314.0
2011-06-13,25945114885.0
2011-06-14,25874685637.0
2011-06-15,26052138273.0
2011-06-16,26226033482.0
2011-06-17,25505100699.0
2011-06-20,25819128660.0
2011-06-21,25940890694.0
2011-06-22,25989032657.0
2011-06-23,25948742880.0
2011-06-24,25843169897.0
2011-06-27,26169842853.0
2011-06-28,26492870443.0
2011-06-29,26728553842.0
2011-06-30,27132908661.0
2011-07-01,27514169474.0
2011-07-04,27643862719.0
2011-07-05,27887021645.0
2011-07-06,28621119536.0
2011-07-07,28782534959.0
2011-07-08,28811167649.0
2011-07-11,29064175732.0
2011-07-12,29254863667.0
2011-07-13,29611763843.0
2011-07-14,29738047080.0
2011-07-15,29968523316.0
2011-07-18,30380284103.0
2011-07-19,30608405305.0
2011-07-20,30873699591.0
2011-07-21,30982968297.0
2011-07-22,31090790316.0
2011-07-25,31489408735.0
2011-07-26,31720039723.0
2011-07-27,32001589700.0
2011-07-28,32003061340.0
2011-07-29,31906160171.0
2011-08-01,32222652251.0
2011-08-02,32440794077.0
2011-08-03,32615101142.0
2011-08-04,32459968547.0
2011-08-05,32488193976.0
2011-08-08,32472034846.0
2011-08-09,32513246785.0
2011-08-10,32500916200.0
2011-08-11,32500544261.0
2011-08-12,32443737165.0
2011-08-15,32606442068.0
2011-08-16,32738758344.0
2011-08-17,32887292322.0
2011-08-18,32969040285.0
2011-08-19,32887780850.0
2011-08-22,33022565134.0
2011-08-23,33170366871.0
2011-08-24,33140422665.0
